,Bot1,Bot2,Bot1_Wins,Bot2_Wins,Bot1_Time,Bot2_Time,Bot1_Heuristic,Bot2_Heuristic
0,MC_1000,AB_4,26,4,3.262504365801405,0.0854113776778251,7.969337994621605,46.83216813441587
1,MC_1000,AB_5,22,7,3.079610267501648,0.47798784035239017,7.1437610895639825,14.644724005613497
2,MC_1000,AB_3,20,10,3.2078920235332813,2.8782961893764205,6.2346238131704075,3.4742776080200723
3,MC_1000,ABE_4,21,8,3.016081095093254,8.611812113451702,6.962677506968924,0.9289566347486787
4,MC_1000,ABE_5,16,9,2.862233407431706,36.83183906059644,5.590040266617134,0.2443538044677332
5,MC_1000,ABE_3,20,9,3.0571980911744174,2.6644802006872337,6.541937880223206,3.377769516800569
6,MC_10000,AB_4,29,1,432.06558703356535,0.06418836631973251,0.0671194394330394,15.579147084361676
7,MC_10000,AB_5,28,2,31.889267192245306,0.3780146481478602,0.8780383641681462,5.290800263427097
8,MC_10000,AB_3,30,0,32.89965196014109,3.3046665215990294,0.9118637496939449,0.0
9,MC_10000,ABE_4,30,0,35.66802147093154,12.699340991102735,0.8410895464008055,0.0
10,MC_10000,ABE_5,30,0,31.054563396044493,40.34464515948675,0.9660415964444434,0.0
11,MC_10000,ABE_3,28,1,32.186542445852666,3.166034790797912,0.8699287923548895,0.3158524988122375
12,MC_5000,AB_4,30,0,16.842150358369608,0.074464283215353,1.7812452306656719,0.0
13,MC_5000,AB_5,28,2,16.75456927074387,0.436514899347969,1.6711859044262292,4.581745097332164
14,MC_5000,AB_3,29,1,127.08784461367853,3.6060708770976317,0.22818862093502462,0.27731013451539704
15,MC_5000,ABE_4,28,2,147.82602851443588,47.40469528757239,0.18941183958862612,0.04218991363339319
16,MC_5000,ABE_5,29,1,113.53255277564881,37.067269298449936,0.25543334744975543,0.0269779786568151
17,MC_5000,ABE_3,28,0,16.851673875717683,3.981627367255873,1.6615560095989295,0.0
18,AB_4,MC_1000,7,23,0.0765948159322232,2.9628064356925403,91.38999702269827,7.762910098655794
19,AB_4,MC_10000,1,28,0.06986510449461211,33.96528327748544,14.313297135011348,0.8243711607304731
20,AB_4,MC_5000,0,30,0.07085824298920633,16.36830572770748,0.0,1.8328103408538763
21,AB_4,ABE_4,15,15,0.0896785345944491,12.240087732401758,167.26410693299246,1.225481412219967
22,AB_4,ABE_5,15,15,0.10920264648668696,26.768758734789763,137.35930842874464,0.5603547085844288
23,AB_4,ABE_3,0,30,0.07239690693941984,1.5639372720862885,0.0,19.18235503140102
24,AB_5,MC_1000,3,26,0.523724288300405,3.0209305062499876,5.72820483414208,8.606619697543103
25,AB_5,MC_10000,2,28,0.37626157146750244,142.45173521328965,5.315451142670676,0.1965578022484335
26,AB_5,MC_5000,1,29,0.4072302276766208,191.22453154289988,2.455613390256713,0.15165418247341375
27,AB_5,ABE_4,15,15,0.5173566601493141,11.742074036598204,28.993538027848825,1.2774574537042904
28,AB_5,ABE_5,15,15,0.4834139433774081,159.77723486640235,31.029307709250926,0.09388070842847068
29,AB_5,ABE_3,0,30,0.5889619721306695,84.74840354919431,0.0,0.35398896903805105
30,AB_3,MC_1000,9,20,25.595478318820305,64.53334485148447,0.35162460681120844,0.3099173000566999
31,AB_3,MC_10000,1,29,50.21514039817668,33.86056149169155,0.01991431253742567,0.8564536062733574
32,AB_3,MC_5000,1,29,3.8036875841563345,16.756287277023112,0.262902769450715,1.7306936507209418
33,AB_3,ABE_4,0,30,2.8353446986940165,10.691112041473389,0.0,2.8060691800462667
34,AB_3,ABE_5,15,15,2.329173118460411,36.67306114022249,6.440053717396084,0.4090195782306325
35,AB_3,ABE_3,0,0,1.444250265757243,1.4425860586620514,0.0,0.0
36,ABE_4,MC_1000,9,21,9.94077011611932,3.190209104875881,0.9053624512859596,6.582640607446022
37,ABE_4,MC_10000,0,30,11.601025928839265,35.80546732109492,0.0,0.8378608699885727
38,ABE_4,MC_5000,1,29,10.479622573951985,17.053385427379627,0.0954232838962719,1.7005421078116132
39,ABE_4,AB_4,15,15,20.87816133932634,0.09198940017006615,0.7184540705577283,163.06226556830055
40,ABE_4,AB_5,15,15,12.458378054878933,0.5521619103171609,1.2040090559080217,27.16594484285239
41,ABE_4,AB_3,30,0,10.758057488335503,2.846102237701417,2.7886075188320665,0.0
42,ABE_5,MC_1000,7,22,45.692040625997606,3.0236869109245514,0.153199548632485,7.275885582106472
43,ABE_5,MC_10000,1,28,38.049521871702744,32.33192022317483,0.026281539183904842,0.8660172302395511
44,ABE_5,MC_5000,1,29,38.285621872737316,15.578871742047173,0.026119466031504814,1.8614955229222008
45,ABE_5,AB_4,15,15,27.432490052598897,0.11200632471026796,0.5467968810428468,133.92100882518204
46,ABE_5,AB_5,15,15,27.209900880582406,0.517295775269017,0.551269924349645,28.996950520617197
47,ABE_5,AB_3,15,15,36.49304779058967,2.3178421648499237,0.41103719497684693,6.471536426196312
48,ABE_3,MC_1000,6,20,2.9651750336193947,3.1268318839877822,2.0234893157980607,6.3962504995609635
49,ABE_3,MC_10000,0,30,3.3294771573193747,143.3290096455716,0.0,0.209308639431647
50,ABE_3,MC_5000,0,29,4.0909345758865925,17.698150721885362,0.0,1.6385892772479829
51,ABE_3,AB_4,30,0,1.5756847966801046,0.07325959205627441,19.039340903211492,0.0
52,ABE_3,AB_5,30,0,2.029328346252442,0.6398834483792083,14.783216355993332,0.0
53,ABE_3,AB_3,0,0,1.4414039452870688,1.4422949041639053,0.0,0.0
