Bot,Total_Wins_ABE_3,Total_Wins_ABE_4,Total_Wins_ABE_5,Total_Wins_AB_3,Total_Wins_AB_4,Total_Wins_AB_5,Total_Wins_MC_1000,Total_Wins_MC_10000,Total_Wins_MC_5000,Total_Time_ABE_3,Total_Time_ABE_4,Total_Time_ABE_5,Total_Time_AB_3,Total_Time_AB_4,Total_Time_AB_5,Total_Time_MC_1000,Total_Time_MC_10000,Total_Time_MC_5000,Total_Heuristic_ABE_3,Total_Heuristic_ABE_4,Total_Heuristic_ABE_5,Total_Heuristic_AB_3,Total_Heuristic_AB_4,Total_Heuristic_AB_5,Total_Heuristic_MC_1000,Total_Heuristic_MC_10000,Total_Heuristic_MC_5000,Average_Heuristic
ABE_3,,,,0.0,60.0,60.0,55.0,59.0,57.0,,,,2.885267586935134,1.6426392838810437,44.00328865797832,5.906842604734415,91.00553201977078,21.311193270372755,,,,0.0,9.555423983653128,3.7843013312578457,4.5848618030957,0.3487724826496935,0.825036321711728,3.183065987061349
ABE_4,,,,60.0,60.0,60.0,59.0,60.0,60.0,,,,13.565308233102161,16.649958503246307,12.634985330971805,12.379436214770077,47.88692785598423,111.38186590166994,,,,1.3986691747195832,83.06757699601768,14.660237345078382,3.844909300112396,0.4197376040973445,0.5068917862324761,17.31633703437631
ABE_5,,,,60.0,60.0,60.0,54.0,59.0,60.0,,,,38.90656210706125,27.211228879292808,93.99392273281559,44.20490000247515,70.8903253252044,102.23215784444162,,,,3.4329117291999687,68.09686721088849,15.16785221566156,3.315869800455956,0.46458509146697485,0.542506578765069,15.170098771073002
AB_3,0.0,60.0,60.0,,,,59.0,60.0,60.0,2.885267586935134,13.565308233102161,38.90656210706125,,,,48.10750569160724,60.14001018580417,75.62694517597781,0.0,1.3986691747195832,3.4329117291999687,,,,2.592610832014597,0.44705791712618204,0.6247737939055196,1.4160039078276416
AB_4,60.0,60.0,60.0,,,,60.0,59.0,60.0,1.6426392838810437,16.649958503246307,27.211228879292808,,,,3.193658497551997,233.08246189093256,16.677889306140823,9.555423983653128,83.06757699601768,68.09686721088849,,,,38.48860331259789,7.695983704884134,0.903513892879887,34.634661516820195
AB_5,60.0,60.0,60.0,,,,58.0,60.0,60.0,44.00328865797832,12.634985330971805,93.99392273281559,,,,3.551126451202215,87.54763931257516,104.41142297033417,3.7843013312578457,14.660237345078382,15.16785221566156,,,,9.030827406715666,2.920211893128588,2.2150496436221303,7.963079972577362
MC_1000,55.0,59.0,54.0,59.0,60.0,58.0,,,,5.906842604734415,12.379436214770077,44.20490000247515,48.10750569160724,3.193658497551997,3.551126451202215,,,,4.5848618030957,3.844909300112396,3.315869800455956,2.592610832014597,38.48860331259789,9.030827406715666,,,,10.3096137424987
MC_10000,59.0,60.0,59.0,60.0,59.0,60.0,,,,91.00553201977078,47.88692785598423,70.8903253252044,60.14001018580417,233.08246189093256,87.54763931257516,,,,0.3487724826496935,0.4197376040973445,0.46458509146697485,0.44705791712618204,7.695983704884134,2.920211893128588,,,,2.049391448892153
MC_5000,57.0,60.0,60.0,60.0,60.0,60.0,,,,21.311193270372755,111.38186590166994,102.23215784444162,75.62694517597781,16.677889306140823,104.41142297033417,,,,0.825036321711728,0.5068917862324761,0.542506578765069,0.6247737939055196,0.903513892879887,2.2150496436221303,,,,0.9362953361861349
